ID_PERFIL,FEATURES_FORCADAS_DO_PERFIL,RANK,TITULO_RECOMENDADO,RATING_RECOMENDADO,JACCARD_SCORE,GENERO_FILME,TEMA_FILME,DIRETOR_FILME,PRODUTORA_FILME,PAIS_FILME
1,"genre: Thriller Psicológico, theme: Suspense / Mistério, main_actor: Charlize Theron, director: Luca Guadagnino, producer: Magnolia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2010, release_type: Cinema, premios: Sim",1,Searching,7.6,0.46153846153846156,Thriller Psicológico,Suspense / Mistério,Outros,Screen Gems,Estados Unidos
1,"genre: Thriller Psicológico, theme: Suspense / Mistério, main_actor: Charlize Theron, director: Luca Guadagnino, producer: Magnolia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2010, release_type: Cinema, premios: Sim",2,Run,6.7,0.5,Thriller Psicológico,Suspense / Mistério,Outros,Lionsgate,Estados Unidos
1,"genre: Thriller Psicológico, theme: Suspense / Mistério, main_actor: Charlize Theron, director: Luca Guadagnino, producer: Magnolia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2010, release_type: Cinema, premios: Sim",3,House at the End of the Street,5.5,0.35714285714285715,Thriller Psicológico,Drama Adolescente,Outros,Relativity Media,Estados Unidos
1,"genre: Thriller Psicológico, theme: Suspense / Mistério, main_actor: Charlize Theron, director: Luca Guadagnino, producer: Magnolia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2010, release_type: Cinema, premios: Sim",4,The Guest,6.7,0.3333333333333333,Thriller Psicológico,Suspense / Mistério,Adam Wingard,HanWay Films,Estados Unidos
1,"genre: Thriller Psicológico, theme: Suspense / Mistério, main_actor: Charlize Theron, director: Luca Guadagnino, producer: Magnolia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2010, release_type: Cinema, premios: Sim",5,The Da Vinci Code,6.6,0.3333333333333333,Aventura Global,Suspense / Mistério,Ron Howard,Columbia Pictures,Estados Unidos
1,"genre: Thriller Psicológico, theme: Suspense / Mistério, main_actor: Charlize Theron, director: Luca Guadagnino, producer: Magnolia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2010, release_type: Cinema, premios: Sim",6,Shutter Island,8.2,0.3333333333333333,Thriller Psicológico,Suspense / Mistério,Martin Scorsese,Paramount Pictures,Estados Unidos
1,"genre: Thriller Psicológico, theme: Suspense / Mistério, main_actor: Charlize Theron, director: Luca Guadagnino, producer: Magnolia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2010, release_type: Cinema, premios: Sim",7,"Food, Inc.",7.8,0.4166666666666667,Documentário de Comida,Outros,Outros,Magnolia Pictures,Estados Unidos
1,"genre: Thriller Psicológico, theme: Suspense / Mistério, main_actor: Charlize Theron, director: Luca Guadagnino, producer: Magnolia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2010, release_type: Cinema, premios: Sim",8,Glass,6.6,0.3333333333333333,Thriller Psicológico,Super-Herói,M Night Shyamalan,Universal Pictures,Estados Unidos
1,"genre: Thriller Psicológico, theme: Suspense / Mistério, main_actor: Charlize Theron, director: Luca Guadagnino, producer: Magnolia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2010, release_type: Cinema, premios: Sim",9,Memento,8.4,0.3333333333333333,Thriller Psicológico,Suspense / Mistério,Christopher Nolan,Newmarket Capital Group,Estados Unidos
1,"genre: Thriller Psicológico, theme: Suspense / Mistério, main_actor: Charlize Theron, director: Luca Guadagnino, producer: Magnolia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2010, release_type: Cinema, premios: Sim",10,Disturbia,6.8,0.3333333333333333,Thriller Psicológico,Crime,DJ Caruso,Dreamworks Pictures,Estados Unidos
2,"genre: Drama, theme: Comédia, main_actor: Michael Keaton, director: Bruno Barreto, producer: Dimension Films, country: Coreia do Sul, age_rating: Jovens, release_decade: 2020, release_type: Cinema, premios: Sim",1,Chunhyang,7.1,0.38461538461538464,Drama,Musical,Outros,CJ Entertainment,Coreia do Sul
2,"genre: Drama, theme: Comédia, main_actor: Michael Keaton, director: Bruno Barreto, producer: Dimension Films, country: Coreia do Sul, age_rating: Jovens, release_decade: 2020, release_type: Cinema, premios: Sim",2,Piranha 3D,5.5,0.3333333333333333,Terror Slasher,Comédia,Alexandre Aja,Dimension Films,França
2,"genre: Drama, theme: Comédia, main_actor: Michael Keaton, director: Bruno Barreto, producer: Dimension Films, country: Coreia do Sul, age_rating: Jovens, release_decade: 2020, release_type: Cinema, premios: Sim",3,"Spring, Summer, Fall, Winter... and Spring",8.0,0.38461538461538464,Drama,Romance,Outros,Pandora Filmproduktion,Coreia do Sul
2,"genre: Drama, theme: Comédia, main_actor: Michael Keaton, director: Bruno Barreto, producer: Dimension Films, country: Coreia do Sul, age_rating: Jovens, release_decade: 2020, release_type: Cinema, premios: Sim",4,Never Forever,6.4,0.38461538461538464,Drama,Romance,Outros,Outros,Coreia do Sul
2,"genre: Drama, theme: Comédia, main_actor: Michael Keaton, director: Bruno Barreto, producer: Dimension Films, country: Coreia do Sul, age_rating: Jovens, release_decade: 2020, release_type: Cinema, premios: Sim",5,Stephanie Daley,6.2,0.26666666666666666,Drama,Indefinido,Outros,Silverwood Films,Estados Unidos
2,"genre: Drama, theme: Comédia, main_actor: Michael Keaton, director: Bruno Barreto, producer: Dimension Films, country: Coreia do Sul, age_rating: Jovens, release_decade: 2020, release_type: Cinema, premios: Sim",6,Finder's Fee,6.2,0.26666666666666666,Drama,Thriller,Outros,Shavick Entertainment,Canadá
2,"genre: Drama, theme: Comédia, main_actor: Michael Keaton, director: Bruno Barreto, producer: Dimension Films, country: Coreia do Sul, age_rating: Jovens, release_decade: 2020, release_type: Cinema, premios: Sim",7,Circle of Deceit,7.1,0.25,Drama,Guerra,Volker Schlndorff,Argos Films,West Germany
2,"genre: Drama, theme: Comédia, main_actor: Michael Keaton, director: Bruno Barreto, producer: Dimension Films, country: Coreia do Sul, age_rating: Jovens, release_decade: 2020, release_type: Cinema, premios: Sim",8,Higher Ground,6.2,0.26666666666666666,Drama,Indefinido,Outros,BCDF Pictures,Estados Unidos
2,"genre: Drama, theme: Comédia, main_actor: Michael Keaton, director: Bruno Barreto, producer: Dimension Films, country: Coreia do Sul, age_rating: Jovens, release_decade: 2020, release_type: Cinema, premios: Sim",9,Jesus of Montreal,7.5,0.26666666666666666,Drama,Romance,Denys Arcand,National Film Board of Canada NFB,Canadá
2,"genre: Drama, theme: Comédia, main_actor: Michael Keaton, director: Bruno Barreto, producer: Dimension Films, country: Coreia do Sul, age_rating: Jovens, release_decade: 2020, release_type: Cinema, premios: Sim",10,Zola,6.4,0.26666666666666666,Comédia Sombria,Comédia,Outros,Killer Films,Estados Unidos
3,"genre: Crime, theme: Aventura, main_actor: Dakota Johnson, director: Quentin Tarantino, producer: Columbia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2000, release_type: Cinema, premios: Sim",1,Charlie's Angels,5.0,0.46153846153846156,Ação,Aventura,Outros,Columbia Pictures,Estados Unidos
3,"genre: Crime, theme: Aventura, main_actor: Dakota Johnson, director: Quentin Tarantino, producer: Columbia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2000, release_type: Cinema, premios: Sim",2,Cloudy with a Chance of Meatballs 2,6.3,0.46153846153846156,Computer Animation,Aventura,Outros,Columbia Pictures,Estados Unidos
3,"genre: Crime, theme: Aventura, main_actor: Dakota Johnson, director: Quentin Tarantino, producer: Columbia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2000, release_type: Cinema, premios: Sim",3,S.W.A.T.,6.1,0.46153846153846156,Ação,Aventura,Outros,Columbia Pictures,Estados Unidos
3,"genre: Crime, theme: Aventura, main_actor: Dakota Johnson, director: Quentin Tarantino, producer: Columbia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2000, release_type: Cinema, premios: Sim",4,Ghostbusters: Afterlife,7.0,0.42857142857142855,Fantasia Sobrenatural,Aventura,Jason Reitman,Columbia Pictures,Estados Unidos
3,"genre: Crime, theme: Aventura, main_actor: Dakota Johnson, director: Quentin Tarantino, producer: Columbia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2000, release_type: Cinema, premios: Sim",5,A Soldier's Story,7.2,0.46153846153846156,Crime,Drama,Norman Jewison,Columbia Pictures,Estados Unidos
3,"genre: Crime, theme: Aventura, main_actor: Dakota Johnson, director: Quentin Tarantino, producer: Columbia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2000, release_type: Cinema, premios: Sim",6,Gloria,7.1,0.46153846153846156,Crime,Drama,Outros,Columbia Pictures,Estados Unidos
3,"genre: Crime, theme: Aventura, main_actor: Dakota Johnson, director: Quentin Tarantino, producer: Columbia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2000, release_type: Cinema, premios: Sim",7,Step Up,6.5,0.3333333333333333,Crime,Drama,Anne Fletcher,Touchstone Pictures,Estados Unidos
3,"genre: Crime, theme: Aventura, main_actor: Dakota Johnson, director: Quentin Tarantino, producer: Columbia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2000, release_type: Cinema, premios: Sim",8,Spirit Untamed,5.5,0.35714285714285715,Computer Animation,Aventura,Outros,DreamWorks Animation,Estados Unidos
3,"genre: Crime, theme: Aventura, main_actor: Dakota Johnson, director: Quentin Tarantino, producer: Columbia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2000, release_type: Cinema, premios: Sim",9,Monster House,6.7,0.35714285714285715,Computer Animation,Comédia Pastelão,Gil Kenan,Columbia Pictures,Estados Unidos
3,"genre: Crime, theme: Aventura, main_actor: Dakota Johnson, director: Quentin Tarantino, producer: Columbia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2000, release_type: Cinema, premios: Sim",10,Minions: The Rise of Gru,6.5,0.35714285714285715,Computer Animation,Aventura,Outros,Universal Pictures,Estados Unidos
4,"genre: Drama, theme: Comédia, main_actor: Will Smith, director: Clint Eastwood, producer: Columbia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 1990, release_type: Cinema, premios: Sim",1,Hitch,6.6,0.5384615384615384,Comédia Romântica,Comédia,Andy Tennant,Columbia Pictures,Estados Unidos
4,"genre: Drama, theme: Comédia, main_actor: Will Smith, director: Clint Eastwood, producer: Columbia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 1990, release_type: Cinema, premios: Sim",2,50 First Dates,6.8,0.42857142857142855,Comédia de Alto Conceito,Comédia,Peter Segal,Columbia Pictures,Estados Unidos
4,"genre: Drama, theme: Comédia, main_actor: Will Smith, director: Clint Eastwood, producer: Columbia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 1990, release_type: Cinema, premios: Sim",3,Vice Versa,5.9,0.46153846153846156,Comédia de Troca de Corpos,Comédia,Outros,Columbia Pictures,Estados Unidos
4,"genre: Drama, theme: Comédia, main_actor: Will Smith, director: Clint Eastwood, producer: Columbia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 1990, release_type: Cinema, premios: Sim",4,Seven Pounds,7.6,0.5384615384615384,Tragédia,Drama,Gabriele Muccino,Columbia Pictures,Estados Unidos
4,"genre: Drama, theme: Comédia, main_actor: Will Smith, director: Clint Eastwood, producer: Columbia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 1990, release_type: Cinema, premios: Sim",5,The Pursuit of Happyness,8.0,0.42857142857142855,Drama no Local de Trabalho,Biografia,Gabriele Muccino,Columbia Pictures,Estados Unidos
4,"genre: Drama, theme: Comédia, main_actor: Will Smith, director: Clint Eastwood, producer: Columbia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 1990, release_type: Cinema, premios: Sim",6,Paul Blart: Mall Cop 2,4.4,0.42857142857142855,Ação,Comédia,Andy Fickman,Columbia Pictures,Estados Unidos
4,"genre: Drama, theme: Comédia, main_actor: Will Smith, director: Clint Eastwood, producer: Columbia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 1990, release_type: Cinema, premios: Sim",7,Finding Forrester,7.3,0.42857142857142855,Drama,Esporte,Gus Van Sant,Columbia Pictures,Estados Unidos
4,"genre: Drama, theme: Comédia, main_actor: Will Smith, director: Clint Eastwood, producer: Columbia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 1990, release_type: Cinema, premios: Sim",8,The Bridges of Madison County,7.6,0.46153846153846156,Drama,Romance,Clint Eastwood,Warner Bros,Estados Unidos
4,"genre: Drama, theme: Comédia, main_actor: Will Smith, director: Clint Eastwood, producer: Columbia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 1990, release_type: Cinema, premios: Sim",9,The Legend of Bagger Vance,6.7,0.42857142857142855,Drama,Fantasia,Robert Redford,Twentieth Century Fox,Estados Unidos
4,"genre: Drama, theme: Comédia, main_actor: Will Smith, director: Clint Eastwood, producer: Columbia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 1990, release_type: Cinema, premios: Sim",10,Excess Baggage,5.4,0.46153846153846156,Ação,Comédia,Outros,Columbia Pictures,Estados Unidos
5,"genre: Crime, theme: Aventura, main_actor: Isabela Merced, director: James Cameron, producer: Columbia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2020, release_type: Cinema, premios: ",1,Spirit Untamed,5.5,0.38461538461538464,Computer Animation,Aventura,Outros,DreamWorks Animation,Estados Unidos
5,"genre: Crime, theme: Aventura, main_actor: Isabela Merced, director: James Cameron, producer: Columbia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2020, release_type: Cinema, premios: ",2,Ghostbusters: Frozen Empire,6.1,0.35714285714285715,Fantasia Sobrenatural,Aventura,Gil Kenan,Columbia Pictures,Estados Unidos
5,"genre: Crime, theme: Aventura, main_actor: Isabela Merced, director: James Cameron, producer: Columbia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2020, release_type: Cinema, premios: ",3,Quicksilver,5.7,0.38461538461538464,Crime,Drama,Outros,Columbia Pictures,Estados Unidos
5,"genre: Crime, theme: Aventura, main_actor: Isabela Merced, director: James Cameron, producer: Columbia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2020, release_type: Cinema, premios: ",4,Charlie's Angels,5.0,0.38461538461538464,Ação,Aventura,Outros,Columbia Pictures,Estados Unidos
5,"genre: Crime, theme: Aventura, main_actor: Isabela Merced, director: James Cameron, producer: Columbia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2020, release_type: Cinema, premios: ",5,Cloudy with a Chance of Meatballs 2,6.3,0.38461538461538464,Computer Animation,Aventura,Outros,Columbia Pictures,Estados Unidos
5,"genre: Crime, theme: Aventura, main_actor: Isabela Merced, director: James Cameron, producer: Columbia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2020, release_type: Cinema, premios: ",6,S.W.A.T.,6.1,0.38461538461538464,Ação,Aventura,Outros,Columbia Pictures,Estados Unidos
5,"genre: Crime, theme: Aventura, main_actor: Isabela Merced, director: James Cameron, producer: Columbia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2020, release_type: Cinema, premios: ",7,The Abyss,7.5,0.38461538461538464,Outros,Aventura,James Cameron,Twentieth Century Fox,Estados Unidos
5,"genre: Crime, theme: Aventura, main_actor: Isabela Merced, director: James Cameron, producer: Columbia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2020, release_type: Cinema, premios: ",8,Enough,5.8,0.35714285714285715,Crime,Drama,Michael Apted,Columbia Pictures,Estados Unidos
5,"genre: Crime, theme: Aventura, main_actor: Isabela Merced, director: James Cameron, producer: Columbia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2020, release_type: Cinema, premios: ",9,Ghostbusters: Afterlife,7.0,0.35714285714285715,Fantasia Sobrenatural,Aventura,Jason Reitman,Columbia Pictures,Estados Unidos
5,"genre: Crime, theme: Aventura, main_actor: Isabela Merced, director: James Cameron, producer: Columbia Pictures, country: Estados Unidos, age_rating: Família, release_decade: 2020, release_type: Cinema, premios: ",10,A Soldier's Story,7.2,0.38461538461538464,Crime,Drama,Norman Jewison,Columbia Pictures,Estados Unidos
6,"genre: Crime, theme: Romance, main_actor: Ben Affleck, director: Sofia Coppola, producer: Paramount Pictures, country: Brasil, age_rating: Família, release_decade: 1990, release_type: , premios: Sim",1,Domestic Disturbance,5.6,0.25,Crime,Thriller,Harold Becker,Paramount Pictures,Estados Unidos
6,"genre: Crime, theme: Romance, main_actor: Ben Affleck, director: Sofia Coppola, producer: Paramount Pictures, country: Brasil, age_rating: Família, release_decade: 1990, release_type: , premios: Sim",2,Regarding Henry,6.7,0.25,Drama,Romance,Mike Nichols,Paramount Pictures,Estados Unidos
6,"genre: Crime, theme: Romance, main_actor: Ben Affleck, director: Sofia Coppola, producer: Paramount Pictures, country: Brasil, age_rating: Família, release_decade: 1990, release_type: , premios: Sim",3,Paternity,5.0,0.26666666666666666,Comédia,Romance,Outros,Paramount Pictures,Estados Unidos
6,"genre: Crime, theme: Romance, main_actor: Ben Affleck, director: Sofia Coppola, producer: Paramount Pictures, country: Brasil, age_rating: Família, release_decade: 1990, release_type: , premios: Sim",4,In & Out,6.4,0.25,Comédia,Romance,Frank Oz,Paramount Pictures,Estados Unidos
6,"genre: Crime, theme: Romance, main_actor: Ben Affleck, director: Sofia Coppola, producer: Paramount Pictures, country: Brasil, age_rating: Família, release_decade: 1990, release_type: , premios: Sim",5,Falling in Love,6.5,0.26666666666666666,Drama,Romance,Outros,Paramount Pictures,Estados Unidos
6,"genre: Crime, theme: Romance, main_actor: Ben Affleck, director: Sofia Coppola, producer: Paramount Pictures, country: Brasil, age_rating: Família, release_decade: 1990, release_type: , premios: Sim",6,The Sum of All Fears,6.5,0.26666666666666666,Thriller Político,Espionagem,Outros,Paramount Pictures,Estados Unidos
6,"genre: Crime, theme: Romance, main_actor: Ben Affleck, director: Sofia Coppola, producer: Paramount Pictures, country: Brasil, age_rating: Família, release_decade: 1990, release_type: , premios: Sim",7,Step Up,6.5,0.17647058823529413,Crime,Drama,Anne Fletcher,Touchstone Pictures,Estados Unidos
6,"genre: Crime, theme: Romance, main_actor: Ben Affleck, director: Sofia Coppola, producer: Paramount Pictures, country: Brasil, age_rating: Família, release_decade: 1990, release_type: , premios: Sim",8,Star Trek VI: The Undiscovered Country,7.2,0.17647058823529413,Épico de Ficção Científica,Ficção Científica Espacial,Nicholas Meyer,Paramount Pictures,Estados Unidos
6,"genre: Crime, theme: Romance, main_actor: Ben Affleck, director: Sofia Coppola, producer: Paramount Pictures, country: Brasil, age_rating: Família, release_decade: 1990, release_type: , premios: Sim",9,Transformers: Rise of the Beasts,6.0,0.1875,Invasão Alienígena,Ação de Carros,Outros,Paramount Pictures,Estados Unidos
6,"genre: Crime, theme: Romance, main_actor: Ben Affleck, director: Sofia Coppola, producer: Paramount Pictures, country: Brasil, age_rating: Família, release_decade: 1990, release_type: , premios: Sim",10,Ever After: A Cinderella Story,7.1,0.17647058823529413,Drama,Romance,Andy Tennant,Twentieth Century Fox,Estados Unidos
7,"genre: Épico de Aventura, theme: Romance, main_actor: Arnold Schwarzenegger, director: Steven Soderbergh, producer: Paramount Pictures, country: Coreia do Sul, age_rating: Jovens, release_decade: 2000, release_type: Cinema, premios: Sim",1,"Spring, Summer, Fall, Winter... and Spring",8.0,0.38461538461538464,Drama,Romance,Outros,Pandora Filmproduktion,Coreia do Sul
7,"genre: Épico de Aventura, theme: Romance, main_actor: Arnold Schwarzenegger, director: Steven Soderbergh, producer: Paramount Pictures, country: Coreia do Sul, age_rating: Jovens, release_decade: 2000, release_type: Cinema, premios: Sim",2,Never Forever,6.4,0.38461538461538464,Drama,Romance,Outros,Outros,Coreia do Sul
7,"genre: Épico de Aventura, theme: Romance, main_actor: Arnold Schwarzenegger, director: Steven Soderbergh, producer: Paramount Pictures, country: Coreia do Sul, age_rating: Jovens, release_decade: 2000, release_type: Cinema, premios: Sim",3,Witness,7.4,0.3333333333333333,Drama,Romance,Peter Weir,Paramount Pictures,Estados Unidos
7,"genre: Épico de Aventura, theme: Romance, main_actor: Arnold Schwarzenegger, director: Steven Soderbergh, producer: Paramount Pictures, country: Coreia do Sul, age_rating: Jovens, release_decade: 2000, release_type: Cinema, premios: Sim",4,Children of a Lesser God,7.2,0.35714285714285715,Drama,Romance,Outros,Paramount Pictures,Estados Unidos
